ID,country,ROW_ID,run_folder,validation,predictor,environmentalArg,model,method,Tier_Sim,Tier_Obs
LBY,LBY,609,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,PASSED,{'mnths_since_outbreak_20_per_M': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",CatBoost,Scikit-learn generic: CatBoostRegressor,C,None
LKA,LKA,597,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,PASSED,{'mnths_since_outbreak_20_per_M': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",XGBRegressor,Scikit-learn generic: XGBRegressor,A,B
LSO,LSO,585,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,PASSED,{'incoming_air_passengers': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",CatBoost,Scikit-learn generic: CatBoostRegressor,None,None
MDG,MDG,566,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,PASSED,{'MCV2_Cov_RecAge': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",XGBRegressor,Scikit-learn generic: XGBRegressor,C,None
MKD,MKD,564,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,PASSED,{'mnths_since_outbreak_2_per_M': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",XGBRegressor,Scikit-learn generic: XGBRegressor,None,None
MMR,MMR,537,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,PASSED,{'mnths_since_outbreak_20_per_M': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",XGBRegressor,Scikit-learn generic: XGBRegressor,None,None
MNG,MNG,535,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,PASSED,{'mnths_since_outbreak_20_per_M': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",XGBRegressor,Scikit-learn generic: XGBRegressor,None,None
NAM,NAM,530,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,PASSED,{'mnths_since_outbreak_20_cuml_per_M': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",XGBRegressor,Scikit-learn generic: XGBRegressor,C,None
NGA,NGA,486,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,PASSED,{'mnths_since_outbreak_2_per_M': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",gradient boosting,Scikit-learn gradient boosted regression,B,B
NZL,NZL,473,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,PASSED,{'mnths_since_outbreak_2_per_M': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",XGBRegressor,Scikit-learn generic: XGBRegressor,None,None
OMN,OMN,470,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,PASSED,{'mnths_since_outbreak_2_per_M': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",Bagging regressor,Scikit-learn generic: Bagging regressor,None,None
PNG,PNG,416,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,PASSED,{'MCV1_Cov_1yo': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",XGBRegressor,Scikit-learn generic: XGBRegressor,None,None
POL,POL,401,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,PASSED,{'mnths_since_outbreak_20_cuml_per_M': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",gradient boosting,Scikit-learn gradient boosted regression,None,None
ROU,ROU,378,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,PASSED,{'mnths_since_outbreak_20_per_M': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",CatBoost,Scikit-learn generic: CatBoostRegressor,A,A
SLE,SLE,336,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,PASSED,{'migrations_per_1k': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",CatBoost,Scikit-learn generic: CatBoostRegressor,None,None
SOM,SOM,323,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,PASSED,{'incoming_air_passengers': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",Bagging regressor,Scikit-learn generic: Bagging regressor,A,A
SVK,SVK,261,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,PASSED,{'birth_per_1k': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",CatBoost,Scikit-learn generic: CatBoostRegressor,None,None
TGO,TGO,203,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,PASSED,{'population_jan': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",Bagging regressor,Scikit-learn generic: Bagging regressor,B,C
THA,THA,161,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,PASSED,{'birth_per_1k': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",gradient boosting,Scikit-learn gradient boosted regression,None,None
TJK,TJK,124,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,PASSED,{'mnths_since_outbreak_2_per_M': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",CatBoost,Scikit-learn generic: CatBoostRegressor,None,None
TLS,TLS,101,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,PASSED,{'mnths_since_outbreak_2_per_M': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",gradient boosting,Scikit-learn gradient boosted regression,None,None
TUN,TUN,92,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,PASSED,{'birth_per_1k': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",XGBRegressor,Scikit-learn generic: XGBRegressor,None,None
UGA,UGA,54,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,PASSED,{'mnths_since_outbreak_20_cuml_per_M': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",CatBoost,Scikit-learn generic: CatBoostRegressor,None,None
UKR,UKR,37,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,PASSED,{'population_jan': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",XGBRegressor,Scikit-learn generic: XGBRegressor,None,None
VEN,VEN,10,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,PASSED,{'population_jan': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",XGBRegressor,Scikit-learn generic: XGBRegressor,C,None
VNM,VNM,7,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,PASSED,{'MCV2_Cov_RecAge': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",XGBRegressor,Scikit-learn generic: XGBRegressor,None,None
YEM,YEM,5,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,PASSED,{'mnths_since_outbreak_20_per_M': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",XGBRegressor,Scikit-learn generic: XGBRegressor,A,A
ZMB,ZMB,4,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,PASSED,{'mnths_since_outbreak_20_per_M': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",XGBRegressor,Scikit-learn generic: XGBRegressor,C,None
ZWE,ZWE,2,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,PASSED,{'mnths_since_outbreak_2_per_M': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",XGBRegressor,Scikit-learn generic: XGBRegressor,None,None
NER,cluster:1,1697,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,PASSED,{'birth_per_1k': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",gradient boosting,Scikit-learn gradient boosted regression,C,C
SSD,cluster:1,1672,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,PASSED,{'birth_per_1k': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",Bagging regressor,Scikit-learn generic: Bagging regressor,A,B
TCD,cluster:1,1662,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,PASSED,{'birth_per_1k': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",Random Forest,Scikit-learn generic: Random Forest regressor,B,B
MOZ,cluster:2,1572,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,PASSED,{'incoming_air_passengers': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",Random Forest,Scikit-learn generic: Random Forest regressor,None,None
NPL,cluster:2,1604,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,PASSED,{'incoming_air_passengers': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",Bagging regressor,Scikit-learn generic: Bagging regressor,None,None
TZA,cluster:2,1578,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,PASSED,{'incoming_air_passengers': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",Random Forest,Scikit-learn generic: Random Forest regressor,None,None
BGR,cluster:5,1124,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,PASSED,{'population_jan': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",CatBoost,Scikit-learn generic: CatBoostRegressor,B,B
CZE,cluster:5,1263,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,PASSED,{'outgoing_air_passengers': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",gradient boosting,Scikit-learn gradient boosted regression,None,None
SAU,cluster:7,902,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,PASSED,{'mnths_since_outbreak_20_cuml_per_M': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",Bagging regressor,Scikit-learn generic: Bagging regressor,C,C
SYR,cluster:8,848,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,PASSED,{'birth_per_1k': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",gradient boosting,Scikit-learn gradient boosted regression,None,None
KAZ,KAZ,33995,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_23_v1/,PASSED,"{'birth_per_1k': 0, 'MCV1': 0, 'MCV2': 0}","{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",XGBRegressor,Scikit-learn generic: XGBRegressor,A,A
BEN,cluster:1,7439,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_23_v1/,PASSED,"{'MCV1': 0, 'incoming_air_passengers': 0, 'passengers_from_iso3_reporting_cases': 0}","{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",Random Forest,Scikit-learn generic: Random Forest regressor,C,C
GNB,cluster:1,8496,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_23_v1/,PASSED,"{'migrations_per_1k': 0, 'MCV1': 0, 'MCV2': 0}","{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",XGBRegressor,Scikit-learn generic: XGBRegressor,None,None
RUS,cluster:4,19808,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_23_v1/,PASSED,"{'migrations_per_1k': 0, 'MCV1': 0, 'MCV2': 0}","{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",XGBRegressor,Scikit-learn generic: XGBRegressor,A,A
AZE,cluster:5,24924,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_23_v1/,PASSED,"{'migrations_per_1k': 0, 'birth_per_1k': 0, 'mnths_since_outbreak_2_per_M': 0}","{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",Random Forest,Scikit-learn generic: Random Forest regressor,A,A
TUR,unicef_region:ECAR,53668,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_23_v1/,PASSED,"{'MCV1': 0, 'MCV2': 0, 'passengers_from_iso3_reporting_cases': 0}","{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",XGBRegressor,Scikit-learn generic: XGBRegressor,C,None
UZB,unicef_region:ECAR,53679,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_23_v1/,PASSED,"{'MCV2': 0, 'mnths_since_outbreak_2_per_M': 0, 'passengers_from_iso3_reporting_cases': 0}","{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",XGBRegressor,Scikit-learn generic: XGBRegressor,A,B
AFG,unicef_region:ROSA,72453,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_23_v1/,PASSED,"{'MCV1': 0, 'incoming_air_passengers': 0, 'passengers_from_iso3_reporting_cases': 0}","{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",CatBoost,Scikit-learn generic: CatBoostRegressor,A,A
GNQ,unicef_region:WCAR,81971,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_23_v1/,PASSED,"{'migrations_per_1k': 0, 'MCV1': 0, 'passengers_from_iso3_reporting_cases': 0}","{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",XGBRegressor,Scikit-learn generic: XGBRegressor,A,B
MLI,unicef_region:WCAR,81962,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_23_v1/,PASSED,"{'migrations_per_1k': 0, 'birth_per_1k': 0, 'MCV2': 0}","{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",XGBRegressor,Scikit-learn generic: XGBRegressor,C,C
IDN,IDN,788,s3://metabiota-modeling-internal/BMGF_measles/model_output/simulation_2024_12_16_v1/,FAILED,{'migrations_per_1k': 0},"{'mean_precip_mm_per_day': 3, 'mean_max_temp': 3}",Random Forest,Scikit-learn generic: Random Forest regressor,A,C
